,Date,Open,Adj Close,Predicted_Label
148,2021-09-10,253.1999969482422,245.42333984375,0
30,2021-09-13,246.73666381835932,247.6666717529297,1
32,2021-09-20,244.85333251953125,243.38999938964844,0
129,2021-09-21,244.92999267578125,246.4600067138672,1
183,2021-09-23,251.6666717529297,251.2133331298828,0
126,2021-09-28,262.3999938964844,259.1866760253906,0
75,2021-10-04,265.5,260.510009765625,0
188,2021-10-14,271.8299865722656,272.7733459472656,1
59,2021-10-15,274.5799865722656,281.010009765625,1
20,2021-10-19,292.510009765625,288.0899963378906,0
190,2021-10-22,298.5,303.2266540527344,1
167,2021-10-26,341.5633239746094,339.4766540527344,0
169,2021-10-27,346.5533447265625,345.9533386230469,0
170,2021-11-10,336.8033447265625,355.9833374023437,1
97,2021-11-22,387.4433288574219,385.6233215332031,0
33,2021-11-26,366.489990234375,360.6400146484375,0
222,2021-12-02,366.3533325195313,361.5333251953125,0
64,2021-12-10,336.25,339.010009765625,1
163,2021-12-13,333.6966552734375,322.1366577148437,0
29,2021-12-16,331.5,308.97332763671875,0
150,2021-12-20,303.5666809082031,299.9800109863281,0
215,2022-01-10,333.3333435058594,352.7066650390625,1
124,2022-01-25,304.7333374023437,306.1333312988281,1
23,2022-02-08,301.84332275390625,307.3333435058594,1
91,2022-02-09,311.6666564941406,310.6666564941406,0
238,2022-02-11,303.2099914550781,286.6666564941406,0
171,2022-02-18,295.3333435058594,285.6600036621094,0
250,2022-02-22,278.0433349609375,273.84332275390625,0
147,2022-02-25,269.74334716796875,269.9566650390625,1
122,2022-03-14,260.2033386230469,255.4566650390625,0
25,2022-03-29,369.3299865722656,366.5233459472656,0
60,2022-04-04,363.1266784667969,381.8166809082031,1
120,2022-04-07,350.7966613769531,352.4200134277344,1
65,2022-04-19,335.0199890136719,342.7166748046875,1
173,2022-04-21,358.24334716796875,336.260009765625,0
81,2022-04-22,338.3033447265625,335.01666259765625,0
209,2022-04-26,331.8099975585937,292.1400146484375,0
102,2022-05-06,295.6666564941406,288.54998779296875,0
62,2022-05-20,237.9966735839844,221.3000030517578,0
191,2022-06-07,234.0,238.8866729736328,1
127,2022-06-22,234.5033264160156,236.086669921875,1
118,2022-06-27,249.36666870117188,244.9199981689453,0
239,2022-06-29,230.5,228.4900054931641,0
86,2022-07-05,223.0,233.0666656494141,1
134,2022-07-22,276.2200012207031,272.24334716796875,0
176,2022-08-12,289.4166564941406,300.0299987792969,1
182,2022-08-24,297.5633239746094,297.0966796875,0
28,2022-08-25,302.3599853515625,296.07000732421875,0
153,2022-08-26,297.42999267578125,288.0899963378906,0
227,2022-08-29,282.8299865722656,284.82000732421875,1
159,2022-08-31,280.6199951171875,275.6099853515625,0
184,2022-09-08,281.29998779296875,289.260009765625,1
177,2022-09-12,300.7200012207031,304.4200134277344,1
240,2022-09-19,300.0899963378906,309.07000732421875,1
100,2022-09-30,266.1499938964844,265.25,0
115,2022-10-11,220.9499969482422,216.5,0
9,2022-10-21,206.4199981689453,214.44000244140625,1
105,2022-10-26,219.3999938964844,224.63999938964844,1
5,2022-10-27,229.7700042724609,225.08999633789065,0
187,2022-11-15,195.8800048828125,194.4199981689453,0
7,2022-11-18,185.0500030517578,180.19000244140625,0
1,2022-11-21,175.85000610351562,167.8699951171875,0
155,2022-12-14,159.25,156.8000030517578,0
48,2023-01-05,110.51000213623048,110.33999633789062,0
52,2023-01-18,136.55999755859375,128.77999877929688,0
233,2023-01-19,127.26000213623048,127.16999816894533,0
43,2023-01-25,141.91000366210938,144.42999267578125,1
146,2023-02-01,173.88999938964844,181.41000366210932,1
119,2023-02-09,207.77999877929688,207.32000732421875,1
192,2023-02-24,196.3300018310547,196.8800048828125,1
53,2023-03-22,199.3000030517578,191.1499938964844,0
149,2023-03-24,191.6499938964844,190.41000366210932,0
112,2023-04-03,199.91000366210932,194.7700042724609,0
243,2023-04-12,190.7400054931641,180.5399932861328,0
36,2023-04-19,179.10000610351562,180.58999633789065,1
22,2023-04-25,159.82000732421875,160.6699981689453,1
101,2023-04-26,160.2899932861328,153.75,0
93,2023-05-08,173.72000122070312,171.7899932861328,0
57,2023-05-12,176.07000732421875,167.97999572753906,0
16,2023-05-18,174.22000122070312,176.88999938964844,1
180,2023-05-22,180.6999969482422,188.8699951171875,1
87,2023-06-01,202.58999633789065,207.5200042724609,1
140,2023-06-06,216.13999938964844,221.3099975585937,1
132,2023-06-08,224.22000122070312,234.8600006103516,1
27,2023-06-15,248.3999938964844,255.8999938964844,1
114,2023-06-16,258.9200134277344,260.5400085449219,1
90,2023-06-26,250.07000732421875,241.0500030517578,0
196,2023-07-18,290.1499938964844,293.3399963378906,1
99,2023-07-26,263.25,264.3500061035156,1
181,2023-08-02,255.57000732421875,254.1100006103516,0
199,2023-08-11,241.7700042724609,242.6499938964844,1
83,2023-08-17,226.0599975585937,219.22000122070312,0
10,2023-08-18,214.1199951171875,215.4900054931641,1
39,2023-08-29,238.5800018310547,257.17999267578125,1
24,2023-08-30,254.1999969482422,256.8999938964844,1
14,2023-09-07,245.07000732421875,251.4900054931641,1
38,2023-09-11,264.2699890136719,273.5799865722656,1
68,2023-09-27,244.259994506836,240.5,0
194,2023-09-28,240.0200042724609,246.3800048828125,1
241,2023-10-12,262.9200134277344,258.8699951171875,0
234,2023-10-16,250.0500030517578,253.9199981689453,1
76,2023-10-23,210.0,212.0800018310547,1
50,2023-11-03,221.1499938964844,219.9600067138672,0
106,2023-12-11,242.7400054931641,239.7400054931641,0
205,2023-12-13,234.19000244140625,239.2899932861328,1
141,2023-12-15,251.2100067138672,253.5,1
189,2024-01-04,239.25,237.92999267578125,0
164,2024-01-23,211.3000030517578,209.13999938964844,0
113,2024-02-01,188.5,188.8600006103516,1
77,2024-02-05,184.259994506836,181.0599975585937,0
216,2024-02-06,177.2100067138672,185.1000061035156,1
142,2024-02-08,189.0,189.5599975585937,0
131,2024-02-14,185.3000030517578,188.7100067138672,1
123,2024-02-23,195.3099975585937,191.97000122070312,0
204,2024-03-06,179.99000549316406,176.5399932861328,0
88,2024-03-15,163.16000366210938,163.57000732421875,0
103,2024-03-20,173.0,175.66000366210938,1
226,2024-03-21,176.38999938964844,172.82000732421875,0
235,2024-03-25,168.75999450683594,172.6300048828125,1
0,2024-03-28,177.4499969482422,175.7899932861328,0
108,2024-04-03,164.02000427246094,168.3800048828125,1
55,2024-04-22,140.55999755859375,142.0500030517578,1
225,2024-04-24,162.83999633789062,162.1300048828125,0
137,2024-04-25,158.9600067138672,170.17999267578125,1
152,2024-04-30,186.97999572753903,183.27999877929688,0
139,2024-05-03,182.1000061035156,181.19000244140625,0
218,2024-05-13,170.0,171.88999938964844,1
104,2024-05-24,174.83999633789062,179.24000549316406,1
37,2024-05-28,176.39999389648438,176.75,0
210,2024-05-29,174.19000244140625,176.19000244140625,1
69,2024-05-30,178.5800018310547,178.7899932861328,0
136,2024-06-04,174.77999877929688,174.77000427246094,0
242,2024-06-14,185.8000030517578,178.00999450683594,0
