,Date,Open,Adj Close,Predicted_Label
190,2019-05-21,93.739501953125,92.8759994506836,0
307,2019-05-23,91.82949829101562,90.77400207519533,0
259,2019-06-13,93.33599853515624,93.51499938964844,1
225,2019-06-18,95.06749725341795,95.06849670410156,1
0,2019-06-19,95.39199829101562,95.4394989013672,0
254,2019-06-20,96.66649627685548,95.90950012207033,0
34,2019-06-24,95.63300323486328,95.69499969482422,0
135,2019-06-25,95.59200286865234,93.91349792480467,0
195,2019-07-08,96.70600128173828,97.61599731445312,1
47,2019-07-09,97.38999938964844,99.41500091552734,1
346,2019-08-02,92.25350189208984,91.16200256347656,0
315,2019-08-05,88.51100158691406,88.25650024414062,0
57,2019-08-09,91.44750213623048,90.37899780273438,0
324,2019-08-15,89.09950256347656,88.80599975585938,0
151,2019-08-21,90.96949768066406,91.177001953125,1
337,2019-08-22,91.4000015258789,90.23300170898438,0
249,2019-08-29,89.1500015258789,89.31999969482422,1
25,2019-09-04,90.25,90.03099822998047,0
217,2019-09-09,92.0500030517578,91.56749725341795,1
75,2019-09-16,91.20099639892578,90.39199829101562,0
173,2019-09-23,88.8499984741211,89.26499938964844,1
82,2019-09-26,88.1395034790039,86.99199676513672,0
59,2019-09-27,87.4000015258789,86.27249908447266,0
30,2019-10-01,87.30000305175781,86.78250122070312,0
40,2019-10-02,86.38700103759766,85.6614990234375,0
18,2019-10-04,86.3010025024414,86.98249816894531,0
283,2019-10-18,89.38999938964844,87.87550354003906,0
296,2019-10-23,88.06500244140625,88.1084976196289,1
331,2019-10-30,88.01200103759766,88.99949645996094,1
77,2019-10-31,88.79949951171875,88.83300018310547,1
269,2019-11-08,89.39450073242188,89.29399871826172,0
292,2019-11-11,88.9000015258789,88.5824966430664,0
343,2019-11-12,88.73300170898438,88.9000015258789,1
27,2019-11-13,88.66950225830078,87.65550231933594,0
106,2019-11-18,86.91500091552734,87.62650299072266,1
72,2019-11-19,87.84950256347656,87.6395034790039,1
205,2019-11-20,87.45700073242188,87.27649688720703,0
293,2019-11-25,87.6624984741211,88.69200134277344,1
290,2019-11-29,90.88899993896484,90.04000091552734,0
329,2019-12-19,89.0250015258789,89.61399841308594,1
236,2019-12-20,89.98100280761719,89.32499694824219,0
9,2019-12-24,89.69049835205078,89.46050262451172,1
128,2019-12-26,90.05049896240234,93.4384994506836,1
122,2019-12-31,92.0999984741211,92.39199829101562,1
314,2020-01-07,95.2249984741211,95.34300231933594,0
279,2020-01-16,94.14949798583984,93.89700317382812,0
10,2020-01-17,94.29450225830078,93.23600006103516,0
325,2020-02-20,108.65350341796876,107.65499877929688,0
127,2020-02-25,101.3209991455078,98.63700103759766,0
20,2020-03-04,97.32849884033205,98.79149627685548,1
156,2020-03-17,88.77349853515625,90.39199829101562,1
229,2020-03-24,97.5749969482422,97.00499725341795,0
191,2020-04-20,119.49749755859376,119.68049621582033,0
214,2020-04-21,120.83049774169922,116.40599822998048,0
281,2020-05-01,116.83999633789062,114.302001953125,0
4,2020-05-07,118.73899841308594,118.38050079345705,0
330,2020-05-08,118.60700225830078,118.98049926757812,1
245,2020-05-29,120.7969970703125,122.11849975585938,1
42,2020-06-01,122.4000015258789,123.552001953125,1
49,2020-06-09,126.47200012207033,130.04299926757812,1
276,2020-06-12,130.0605010986328,127.2509994506836,0
211,2020-07-02,145.60049438476562,144.51499938964844,0
159,2020-07-15,154.01150512695312,150.44349670410156,0
180,2020-07-22,156.25,154.99549865722656,0
